ex,word,vowel,tap,underlying,vowel_start,dur
s0101a,lordy;,ow,dx_d,d,228.083775,0.060538
s0101a,sporting;,ao,dx_t,t,286.778639,0.044751
s0101b,to;,ih,dx_t,t,107.790335,0.063759
s0101b,to;,ao,dx_t,t,137.058997,0.06229
s0102a,springfield;,ah,dx_d,d,58.718563,0.12
s0102a,started;,aa,dx_t,t,127.840578,0.182122
s0102a,conditioning;,ah,dx_d,d,146.771296,0.074843
s0102a,sort;,ao,dx_t,t,187.559875,0.06
s0102a,kindergarten;,aa,dx_t,t,196.107796,0.113092
s0102a,sporting;,ao,dx_t,t,215.483,0.06
s0102a,started;,aa,dx_t,t,221.929125,0.075867
s0102a,don't;,ih,dx_d,d,263.873119,0.161069
s0102a,buildings;,ih,dx_d,d,482.85437,0.140887
s0102a,shortest;,ao,dx_t,t,520.746563,0.07
s0102a,old;,ow,dx_d,d,574.751562,0.14
s0102a,at;,iy,dx_t,t,587.602028,0.082281
s0102b,to;,eh,dx_t,t,247.230518,0.109874
s0102b,kindergarten;,aa,dx_t,t,329.963292,0.133955
s0102b,building;,ih,dx_d,d,349.305242,0.155438
s0102b,to;,iy,dx_t,t,422.05025,0.139658
s0102b,little;,ah,dx_t,t,540.474056,0.084713
s0103a,it;,iy,dx_t,t,17.330412,0.053526
s0201a,majority;,ao,dx_t,t,192.865,0.05
s0202a,started;,aa,dx_t,t,143.542,0.093913
s0202a,retired;,ay,dx_t,t,198.159,0.079
s0202a,started;,aa,dx_t,t,301.252,0.06
s0202b,at;,uw,dx_t,t,84.805297,0.075703
s0202b,to;,ow,dx_t,t,124.83,0.089
s0202b,children;,ih,dx_d,d,367.617,0.107
s0202b,responsibility;,ih,dx_t,t,383.107,0.11
s0202b,out;,ow,dx_t,t,397.551,0.129
s0202b,to;,ah,dx_t,t,418.702,0.039
s0203a,do;,ah,dx_d,d,109.63115,0.014732
s0203a,did;,uh,dx_d,d,151.814041,0.022665
s0203a,guardian;,aa,dx_d,d,187.030659,0.081029
s0203b,older;,ow,dx_d,d,222.478,0.096535
s0204a,children;,ih,dx_d,d,6.540149,0.136851
s0204a,it;,aen,dx_t,t,81.302,0.118
s0204a,airport;,ao,dx_t,t,83.063,0.077207
s0204a,don't;,ah,dx_d,d,112.838,0.164
s0204a,deviating;,iy,dx_t,t,197.924,0.142
s0204b,toward;,ao,dx_t,t,26.628,0.053
s0204b,older;,ow,dx_d,d,51.284,0.094
s0204b,graduated;,uw,dx_t,t,84.875,0.067
s0204b,older;,ow,dx_d,d,341.761662,0.075362
s0204b,older;,ow,dx_d,d,349.427,0.089647
s0204b,started;,aa,dx_t,t,381.34,0.063
s0204b,it;,ow,dx_t,t,422.489,0.156
s0205a,started;,aa,dx_t,t,252.379125,0.059331
s0205a,spilled;,ih,dx_d,d,253.389125,0.139645
s0205a,older;,ow,dx_d,d,326.214688,0.121216
s0205b,older;,ow,dx_d,d,162.569861,0.064118
s0205b,murder;,ah,dx_d,d,172.003023,0.181947
s0205b,guilty;,ih,dx_t,t,204.494606,0.141183
s0205b,guilty;,ih,dx_t,t,215.417373,0.125521
s0205b,killed;,ih,dx_d,d,244.219873,0.150724
s0205b,told;,ow,dx_d,d,307.601075,0.055805
s0205b,ought;,ih,dx_t,t,313.045591,0.088035
s0206a,older;,ow,dx_d,d,62.383123,0.081627
s0206a,to;,ey,dx_t,t,76.296313,0.136702
s0206a,started;,aa,dx_t,t,123.929469,0.104184
s0206a,deported;,ow,dx_t,t,228.580676,0.110043
s0206a,to;,ih,dx_t,t,422.054278,0.017549
s0301a,courthouse;,ow,dx_t,t,80.811,0.058
s0301a,society;,ay,dx_t,t,97.281,0.064
s0301a,that;,ih,dx_t,t,173.493,0.098618
s0301a,out;,iy,dx_t,t,254.623,0.257
s0302a,forty;,ow,dx_t,t,47.365524,0.103727
s0302a,result;,ao,dx_t,t,362.792037,0.072496
s0302a,hundred;,ah,dx_d,d,422.016906,0.057963
s0302b,toward;,uh,dx_t,t,246.22,0.099
s0302b,child;,ay,dx_d,d,311.652,0.312
s0303a,society;,ay,dx_t,t,338.627,0.07
s0303a,cold;,ow,dx_d,d,398.401,0.102
s0303a,society;,ay,dx_t,t,448.101,0.12
s0303b,does;,ah,dx_d,d,79.462,0.127784
s0303b,to;,aa,dx_t,t,123.585,0.03
s0303b,according;,ao,dx_d,d,180.127,0.07
s0304a,sort;,ah,dx_t,t,189.275515,0.047597
s0304a,don't;,uw,dx_d,d,277.509925,0.15979
s0304a,part;,aa,dx_t,t,306.924102,0.153055
s0304a,sort;,ao,dx_t,t,355.646438,0.06
s0304b,older;,ow,dx_d,d,126.114847,0.145611
s0304b,old;,ow,dx_d,d,130.208041,0.125817
s0304b,starting;,aa,dx_t,t,138.001205,0.138258
s0304b,to;,ao,dx_t,t,141.297902,0.032858
s0304b,to;,aa,dx_t,t,192.540076,0.043457
s0304b,at;,ih,dx_t,t,294.798288,0.072529
s0305a,elders;,eh,dx_d,d,19.704028,0.202512
s0305a,elders;,eh,dx_d,d,22.431209,0.196885
s0305a,garden;,aa,dx_d,d,73.542241,0.141722
s0305a,that;,ah,dx_t,t,100.033752,0.156192
s0305a,court;,ao,dx_t,t,435.919131,0.073725
s0306a,started;,aa,dx_t,t,93.199738,0.07455
s0401a,graduated;,uw,dx_t,t,92.294,0.14
s0401a,to;,ih,dx_t,t,121.736339,0.109375
s0401a,started;,aa,dx_t,t,183.515481,0.080462
s0401a,older;,ow,dx_d,d,445.869912,0.104088
s0401a,that;,ey,dx_t,t,479.202508,0.096492
s0401a,don't;,ah,dx_d,d,500.475,0.129
s0401a,don't;,uw,dx_d,d,541.271,0.098
s0401b,at;,iy,dx_t,t,203.260907,0.100218
s0401b,started;,aa,dx_t,t,210.449611,0.077306
s0401b,to;,eh,dx_t,t,210.929125,0.081
s0401b,saturday;,ae,dx_t,t,322.024125,0.151
s0401b,to;,ao,dx_t,t,346.798125,0.077
s0401b,start;,aa,dx_t,t,441.895535,0.08159
s0401b,to;,ao,dx_t,t,453.394125,0.088
s0402a,don't;,ah,dx_d,d,67.611,0.1546
s0402a,eater;,iy,dx_t,t,150.106,0.193
s0402a,did;,ah,dx_d,d,374.413008,0.050992
s0402a,don't;,ow,dx_d,d,432.53,0.118
s0402a,don't;,ah,dx_d,d,523.895,0.194
s0402a,didn't;,ih,dx_d,d,535.861005,0.021532
s0402b,start;,aa,dx_t,t,287.619625,0.082
s0402b,don't;,ow,dx_d,d,504.956625,0.129
s0403a,told;,ow,dx_d,d,148.973,0.076
s0403a,don't;,ay,dx_d,d,196.668,0.092019
s0403a,afford;,ow,dx_d,d,206.156,0.1
s0403a,at;,iy,dx_t,t,305.732,0.1
s0403a,child;,aa,dx_d,d,314.914,0.119
s0403a,older;,ih,dx_d,d,316.609,0.257
s0403a,don't;,ay,dx_d,d,351.900273,0.171693
s0403a,don't;,ih,dx_d,d,446.108,0.073156
s0403a,child;,aa,dx_d,d,471.017,0.071
s0403a,don't;,ah,dx_d,d,559.936062,0.127938
s0403a,doesn't;,iy,dx_d,d,585.052,0.140825
s0403b,it;,uw,dx_t,t,18.535782,0.091468
s0403b,don't;,ow,dx_d,d,150.85125,0.15
s0403b,had;,iy,dx_d,d,195.24725,0.102
s0403b,told;,ow,dx_d,d,203.36725,0.079
s0403b,oldest;,ow,dx_d,d,298.808022,0.092361
