,Unnamed: 0,sub,band,lang,lab,ch,mod,r
0,0,SD010,dp,eng,unlabeled,RHB4,linear,-0.0123091040008894
1,1,SD010,dp,eng,unlabeled,RHB4,full,0.0023411173825062747
2,2,SD010,dp,eng,unlabeled,RAC4,linear,-0.04023055458193371
3,3,SD010,dp,eng,unlabeled,RAC4,full,-0.05268011130043557
4,4,SD010,dp,eng,unlabeled,RHT10,linear,-0.011586557820384796
5,5,SD010,dp,eng,unlabeled,RHT10,full,0.05130964306135045
6,6,SD010,dp,eng,unlabeled,RHH5,linear,-0.06286577932478475
7,7,SD010,dp,eng,unlabeled,RHH5,full,-0.00799281418705846
8,8,SD010,dp,eng,unlabeled,LA7,linear,-0.008977987270831794
9,9,SD010,dp,eng,unlabeled,LA7,full,0.0010027747669390673
10,10,SD010,dp,eng,unlabeled,RHT7,linear,-0.0904574033246941
11,11,SD010,dp,eng,unlabeled,RHT7,full,-0.09108132292265143
12,12,SD010,dp,eng,unlabeled,LHH7,linear,-0.04163161093915036
13,13,SD010,dp,eng,unlabeled,LHH7,full,-0.007974743587645177
14,14,SD010,dp,eng,unlabeled,LHT5,linear,-0.030637554482633687
15,15,SD010,dp,eng,unlabeled,LHT5,full,-0.00894687090780058
16,16,SD010,dp,eng,unlabeled,LAC6,linear,0.0588874500749376
17,17,SD010,dp,eng,unlabeled,LAC6,full,0.11610560497373168
18,18,SD010,dp,eng,unlabeled,LOF8,linear,0.024652434279298512
19,19,SD010,dp,eng,unlabeled,LOF8,full,-0.02809448702246092
20,20,SD010,dp,eng,unlabeled,LOF2,linear,0.05781732813856635
21,21,SD010,dp,eng,unlabeled,LOF2,full,-0.04818159837608325
22,22,SD010,dp,eng,unlabeled,LOF5,linear,0.1558593706273624
23,23,SD010,dp,eng,unlabeled,LOF5,full,0.05094119173943594
24,24,SD010,dp,eng,unlabeled,LAC1,linear,0.24823872385172285
25,25,SD010,dp,eng,unlabeled,LAC1,full,0.06905142861763743
26,26,SD010,dp,eng,unlabeled,LHT8,linear,0.07219423007506051
27,27,SD010,dp,eng,unlabeled,LHT8,full,0.030463790113070443
28,28,SD010,dp,eng,unlabeled,LHT2,linear,-0.058930819442389676
29,29,SD010,dp,eng,unlabeled,LHT2,full,-0.020987354077254317
30,30,SD010,dp,eng,unlabeled,RA10,linear,0.077712997761289
31,31,SD010,dp,eng,unlabeled,RA10,full,-0.017148319429857894
32,32,SD010,dp,eng,unlabeled,RA7,linear,-0.1048390927693624
33,33,SD010,dp,eng,unlabeled,RA7,full,-0.07498223052288458
34,34,SD010,dp,eng,unlabeled,RHH2,linear,0.03203199450319361
35,35,SD010,dp,eng,unlabeled,RHH2,full,-0.05309362741652664
36,36,SD010,dp,eng,unlabeled,RHH8,linear,0.07824817909746218
37,37,SD010,dp,eng,unlabeled,RHH8,full,0.0751807656723221
38,38,SD010,dp,eng,unlabeled,ROF7,linear,-0.042856920831573685
39,39,SD010,dp,eng,unlabeled,ROF7,full,-0.033688772109659725
40,40,SD010,dp,eng,unlabeled,LAC10,linear,-0.11567801788494445
41,41,SD010,dp,eng,unlabeled,LAC10,full,0.059797485239602176
42,42,SD010,dp,eng,unlabeled,RAC9,linear,-0.08419008449595589
43,43,SD010,dp,eng,unlabeled,RAC9,full,-0.05942657459503064
44,44,SD010,dp,eng,unlabeled,RHB9,linear,0.0438697767966428
45,45,SD010,dp,eng,unlabeled,RHB9,full,0.028988618844221912
46,46,SD010,dp,eng,unlabeled,RHB3,linear,0.05736085783231245
47,47,SD010,dp,eng,unlabeled,RHB3,full,-0.07131793062923536
48,48,SD010,dp,eng,unlabeled,RAC3,linear,-0.04902928280335389
49,49,SD010,dp,eng,unlabeled,RAC3,full,-0.019941435000659685
50,50,SD010,dp,eng,unlabeled,ROF9,linear,0.031963879225097636
51,51,SD010,dp,eng,unlabeled,ROF9,full,-0.03456803753677752
52,52,SD010,dp,eng,unlabeled,ROF3,linear,-0.03246269462005984
53,53,SD010,dp,eng,unlabeled,ROF3,full,-0.004330138885753521
54,54,SD010,dp,eng,unlabeled,RAC7,linear,-0.03401470137897065
55,55,SD010,dp,eng,unlabeled,RAC7,full,0.01810086615026481
56,56,SD010,dp,eng,unlabeled,RHB7,linear,-0.10110278924633158
57,57,SD010,dp,eng,unlabeled,RHB7,full,0.08047961388472387
58,58,SD010,dp,eng,unlabeled,RHH10,linear,-0.025323871042425908
59,59,SD010,dp,eng,unlabeled,RHH10,full,-0.06273678622639395
60,60,SD010,dp,eng,unlabeled,RA9,linear,0.03179462225145244
61,61,SD010,dp,eng,unlabeled,RA9,full,0.003591609292891772
62,62,SD010,dp,eng,unlabeled,RHT4,linear,-0.09529853046843184
63,63,SD010,dp,eng,unlabeled,RHT4,full,-0.0284084967282884
64,64,SD010,dp,eng,unlabeled,RA3,linear,0.053617205824785
65,65,SD010,dp,eng,unlabeled,RA3,full,-0.043433587994590864
66,66,SD010,dp,eng,unlabeled,LA4,linear,-0.1389573310004034
67,67,SD010,dp,eng,unlabeled,LA4,full,0.0006268813213457218
68,68,SD010,dp,eng,unlabeled,RHH6,linear,-0.04238789295774336
69,69,SD010,dp,eng,unlabeled,RHH6,full,-0.05465080191202075
70,70,SD010,dp,eng,unlabeled,LHT6,linear,0.03393123756537703
71,71,SD010,dp,eng,unlabeled,LHT6,full,0.03790689458488238
72,72,SD010,dp,eng,unlabeled,RHB10,linear,-0.030279031065486076
73,73,SD010,dp,eng,unlabeled,RHB10,full,0.02973725327529363
74,74,SD010,dp,eng,unlabeled,LHH4,linear,-0.09342439648987064
75,75,SD010,dp,eng,unlabeled,LHH4,full,0.0691642319263189
76,76,SD010,dp,eng,unlabeled,LOF1,linear,0.009279908893616738
77,77,SD010,dp,eng,unlabeled,LOF1,full,-0.04208553312977915
78,78,SD010,dp,eng,unlabeled,LOF10,linear,-0.11130300785348296
79,79,SD010,dp,eng,unlabeled,LOF10,full,-0.0002990888122896985
80,80,SD010,dp,eng,unlabeled,LAC5,linear,0.011132233761974863
81,81,SD010,dp,eng,unlabeled,LAC5,full,0.03567956803874765
82,82,SD010,dp,eng,unlabeled,LAC8,linear,-0.034973500129131856
83,83,SD010,dp,eng,unlabeled,LAC8,full,0.03693688285262177
84,84,SD010,dp,eng,unlabeled,LAC2,linear,0.1356191816479958
85,85,SD010,dp,eng,unlabeled,LAC2,full,-0.04626614407949628
86,86,SD010,dp,eng,unlabeled,LOF6,linear,0.15169707812115008
87,87,SD010,dp,eng,unlabeled,LOF6,full,0.1978511248431088
88,88,SD010,dp,eng,unlabeled,LHH3,linear,-0.14460645977848596
89,89,SD010,dp,eng,unlabeled,LHH3,full,0.04335564343107837
90,90,SD010,dp,eng,unlabeled,LHH9,linear,-0.1250971474872596
91,91,SD010,dp,eng,unlabeled,LHH9,full,-0.12485810662658185
92,92,SD010,dp,eng,unlabeled,LHT1,linear,-0.005711620378427958
93,93,SD010,dp,eng,unlabeled,LHT1,full,-0.0024533250707130965
94,94,SD010,dp,eng,unlabeled,RHH1,linear,-0.12740363723947504
95,95,SD010,dp,eng,unlabeled,RHH1,full,-0.2554314006343109
96,96,SD010,dp,eng,unlabeled,LA9,linear,-0.2285382510478679
97,97,SD010,dp,eng,unlabeled,LA9,full,-0.1298896243551344
98,98,SD010,dp,eng,unlabeled,RHT9,linear,0.0705546208665666
99,99,SD010,dp,eng,unlabeled,RHT9,full,0.02283329379702892
100,100,SD010,dp,eng,unlabeled,RA4,linear,0.015080053462591897
101,101,SD010,dp,eng,unlabeled,RA4,full,-0.02705261781657178
102,102,SD010,dp,eng,unlabeled,RHT3,linear,-0.009653662081023577
103,103,SD010,dp,eng,unlabeled,RHT3,full,-0.059539404445156464
104,104,SD010,dp,eng,unlabeled,LA3,linear,-0.17640121689441993
105,105,SD010,dp,eng,unlabeled,LA3,full,-0.033528627845035026
106,106,SD010,dp,eng,unlabeled,ROF4,linear,0.01120915314879279
107,107,SD010,dp,eng,unlabeled,ROF4,full,-0.025838556619514064
108,108,SD010,dp,eng,unlabeled,RA6,linear,-0.035637208402378336
109,109,SD010,dp,eng,unlabeled,RA6,full,-0.0336208222802517
110,110,SD010,dp,eng,unlabeled,RHT1,linear,0.0435075393665784
111,111,SD010,dp,eng,unlabeled,RHT1,full,0.007915630433529637
112,112,SD010,dp,eng,unlabeled,LA1,linear,-0.0948733318104281
113,113,SD010,dp,eng,unlabeled,LA1,full,-0.06360346321534388
114,114,SD010,dp,eng,unlabeled,RHH9,linear,-0.011334890144541013
115,115,SD010,dp,eng,unlabeled,RHH9,full,-0.045393401387526434
116,116,SD010,dp,eng,unlabeled,RHH3,linear,-0.12889183306035232
117,117,SD010,dp,eng,unlabeled,RHH3,full,0.005805566006505946
118,118,SD010,dp,eng,unlabeled,ROF6,linear,0.03187598336583928
119,119,SD010,dp,eng,unlabeled,ROF6,full,-0.022174190783969757
120,120,SD010,dp,eng,unlabeled,RAC2,linear,0.031353478879962836
121,121,SD010,dp,eng,unlabeled,RAC2,full,0.02468610644162214
122,122,SD010,dp,eng,unlabeled,RHB2,linear,-0.04241871254505935
123,123,SD010,dp,eng,unlabeled,RHB2,full,-0.06255036459324856
124,124,SD010,dp,eng,unlabeled,RHB8,linear,-0.05501288009435452
125,125,SD010,dp,eng,unlabeled,RHB8,full,0.014317904170630322
126,126,SD010,dp,eng,unlabeled,RAC8,linear,0.003857388057741489
127,127,SD010,dp,eng,unlabeled,RAC8,full,0.10520997549022232
128,128,SD010,dp,eng,unlabeled,LOF4,linear,0.04822973804828745
129,129,SD010,dp,eng,unlabeled,LOF4,full,-0.022845284294137118
130,130,SD010,dp,eng,unlabeled,LHT3,linear,0.07878730814516127
131,131,SD010,dp,eng,unlabeled,LHT3,full,0.06271438976738936
132,132,SD010,dp,eng,unlabeled,LHT9,linear,0.06516925293110548
133,133,SD010,dp,eng,unlabeled,LHT9,full,-0.001790293697010766
134,134,SD010,dp,eng,unlabeled,RAC10,linear,-0.08963573912188237
135,135,SD010,dp,eng,unlabeled,RAC10,full,0.005845870645986867
136,136,SD010,dp,eng,unlabeled,LHH1,linear,-0.04333388499847938
137,137,SD010,dp,eng,unlabeled,LHH1,full,-0.09811543683453428
138,138,SD010,dp,eng,unlabeled,LHH6,linear,-0.061638422207894276
139,139,SD010,dp,eng,unlabeled,LHH6,full,-0.004286183878020131
140,140,SD010,dp,eng,unlabeled,LHT4,linear,-0.06528724664873548
141,141,SD010,dp,eng,unlabeled,LHT4,full,-0.022341474770623728
142,142,SD010,dp,eng,unlabeled,LHT10,linear,0.0944354940378699
143,143,SD010,dp,eng,unlabeled,LHT10,full,0.04239987635409581
144,144,SD010,dp,eng,unlabeled,LAC7,linear,0.03501464106179815
145,145,SD010,dp,eng,unlabeled,LAC7,full,0.0757397860770148
146,146,SD010,dp,eng,unlabeled,LOF3,linear,0.08517884718279715
147,147,SD010,dp,eng,unlabeled,LOF3,full,-0.04050416041828291
148,148,SD010,dp,eng,unlabeled,LOF9,linear,-0.05477891710460681
149,149,SD010,dp,eng,unlabeled,LOF9,full,0.03222692356945124
150,150,SD010,dp,eng,unlabeled,RAC5,linear,0.02646655298700932
151,151,SD010,dp,eng,unlabeled,RAC5,full,-0.014741284541153404
152,152,SD010,dp,eng,unlabeled,RHB5,linear,-0.06003898251165924
153,153,SD010,dp,eng,unlabeled,RHB5,full,-0.05614183546654487
154,154,SD010,dp,eng,unlabeled,ROF1,linear,0.02966957276950684
155,155,SD010,dp,eng,unlabeled,ROF1,full,-0.007785233795484998
156,156,SD010,dp,eng,unlabeled,RHH4,linear,-0.047950862129294516
157,157,SD010,dp,eng,unlabeled,RHH4,full,0.01529723495487316
158,158,SD010,dp,eng,unlabeled,RHT6,linear,-0.1615220603568624
159,159,SD010,dp,eng,unlabeled,RHT6,full,0.09300730422837003
160,160,SD010,dp,eng,unlabeled,RA1,linear,0.08039288108263203
161,161,SD010,dp,eng,unlabeled,RA1,full,-0.011643394097625362
162,162,SD010,dp,eng,unlabeled,LA6,linear,-0.03078106797978455
163,163,SD010,dp,eng,unlabeled,LA6,full,0.00016269160779807992
164,164,SD010,dp,eng,unlabeled,LA2,linear,-0.2043970477542221
165,165,SD010,dp,eng,unlabeled,LA2,full,-0.049851896013837084
166,166,SD010,dp,eng,unlabeled,RA5,linear,0.014107519506659378
167,167,SD010,dp,eng,unlabeled,RA5,full,-0.004743341069996433
168,168,SD010,dp,eng,unlabeled,RHT2,linear,0.03324858029184997
169,169,SD010,dp,eng,unlabeled,RHT2,full,0.024333118319947274
170,170,SD010,dp,eng,unlabeled,RHT8,linear,-0.07770157630685691
171,171,SD010,dp,eng,unlabeled,RHT8,full,-0.11528799945729253
172,172,SD010,dp,eng,unlabeled,LA8,linear,0.03235000762013085
173,173,SD010,dp,eng,unlabeled,LA8,full,0.0150240476808104
174,174,SD010,dp,eng,unlabeled,RHB1,linear,-0.08757004380146405
175,175,SD010,dp,eng,unlabeled,RHB1,full,-0.10737924082054401
176,176,SD010,dp,eng,unlabeled,RAC1,linear,-0.03912809748166519
177,177,SD010,dp,eng,unlabeled,RAC1,full,-0.03523325634588849
178,178,SD010,dp,eng,unlabeled,ROF5,linear,0.012288405394022043
179,179,SD010,dp,eng,unlabeled,ROF5,full,-0.03923026471246969
180,180,SD010,dp,eng,unlabeled,LAC3,linear,0.0683497527053154
181,181,SD010,dp,eng,unlabeled,LAC3,full,-0.060993219931887416
182,182,SD010,dp,eng,unlabeled,LAC9,linear,-0.07588103145450535
183,183,SD010,dp,eng,unlabeled,LAC9,full,-0.007111139721885266
184,184,SD010,dp,eng,unlabeled,LOF7,linear,0.07690825903349349
185,185,SD010,dp,eng,unlabeled,LOF7,full,0.07379606858087967
186,186,SD010,dp,eng,unlabeled,LHH8,linear,-0.06551532936047239
187,187,SD010,dp,eng,unlabeled,LHH8,full,0.004326121598033612
188,188,SD010,dp,eng,unlabeled,LHH2,linear,-0.10208835010250354
189,189,SD010,dp,eng,unlabeled,LHH2,full,-0.0786959157931778
190,190,SD010,dp,eng,unlabeled,LA10,linear,-0.21245325942661905
191,191,SD010,dp,eng,unlabeled,LA10,full,-0.1089208192599374
192,192,SD010,dp,eng,unlabeled,LHT7,linear,-0.035133374133333874
193,193,SD010,dp,eng,unlabeled,LHT7,full,0.00016596866109944085
194,194,SD010,dp,eng,unlabeled,LHH10,linear,0.07623200181651016
195,195,SD010,dp,eng,unlabeled,LHH10,full,0.054514171251819225
196,196,SD010,dp,eng,unlabeled,LHH5,linear,-0.06392957976624722
197,197,SD010,dp,eng,unlabeled,LHH5,full,-0.010979414618449848
